Protein_ID,Fold,Split,Cluster
A0A059SVB0_L,fold_00,Train,3
A0A068B0N9_L,fold_00,Train,3
A0A097ZLN9_L,fold_00,Train,3
A0A097ZLP5_L,fold_00,Train,3
A0A097ZLS9_L,fold_00,Train,3
A0A0D3ML99_C,fold_00,Train,3
A0A140KFH3_L,fold_00,Train,3
A0A1Q1N939_L,fold_00,Train,3
A0A2R3ZE38_L,fold_00,Train,3
A0A2R3ZE39_L,fold_00,Train,3
A0A345BJ04_L,fold_00,Train,3
A0A3G9EWY9_L,fold_00,Train,3
A0A4Y5QWA6_L,fold_00,Train,3
A0A4Y5QZ62_L,fold_00,Train,3
A0A5B9G8E4_L,fold_00,Train,3
A0A6C0M6B5_L,fold_00,Train,3
A0A6P6W6H5_C,fold_00,Train,3
A0A7G8EIM4_L,fold_00,Train,3
A0A7L7S5P2_L,fold_00,Train,3
A0A7L7S5U1_L,fold_00,Train,3
A0A7L7T499_L,fold_00,Train,3
A0A7L7TAQ2_L,fold_00,Train,3
ATY48639_L,fold_00,Train,3
B0F4G4_C,fold_00,Train,3
B1NA83_L,fold_00,Train,3
B1NA84_L,fold_00,Train,3
B6F137_L,fold_00,Train,3
C0KWV5_L,fold_00,Train,3
C0KWV7_L,fold_00,Train,3
C0KY88_L,fold_00,Train,3
C0PPR1_L,fold_00,Train,3
D4N3A0_L,fold_00,Train,3
D4N3A1_L,fold_00,Train,3
D5SL78_L,fold_00,Train,3
dinctg000_np1212847_L,fold_00,Train,3
F2XF93_L,fold_00,Train,3
F2XFA6_L,fold_00,Train,3
F8TWD1_L,fold_00,Train,3
F8TWD2_L,fold_00,Train,3
G5CV39_L,fold_00,Train,3
H6UQ81_L,fold_00,Train,3
H6WBC5_L,fold_00,Train,3
J7HWK5_L,fold_00,Train,3
P0CV94_L,fold_00,Train,3
P0CV95_L,fold_00,Train,3
Q20HU7_C,fold_00,Train,3
Q2XSC5_L,fold_00,Train,3
Q2XSC6_C,fold_00,Train,3
Q5SBP3_L,fold_00,Train,3
Q675L1_C,fold_00,Train,3
Q675L2_L,fold_00,Train,3
Q6ZH94_L,fold_00,Train,3
Q84UV0_L,fold_00,Train,3
Q8H2B4_L,fold_00,Train,3
Q8L5K1_C,fold_00,Train,3
Q96376_L,fold_00,Train,3
Q9M5A4_C,fold_00,Train,3
Q9M7C9_C,fold_00,Train,3
Q9SPN0_L,fold_00,Train,3
Q9SPN1_L,fold_00,Train,3
Q9SW76_C,fold_00,Train,3
R4I6X2_L,fold_00,Train,3
R4YVJ5_C,fold_00,Train,3
slectg065_np871_L,fold_00,Train,3
slectg127_np665_L,fold_00,Train,3
slectg240_np1756_L,fold_00,Train,3
U5PZT6_L,fold_00,Train,3
vodctg000225_np551212.245_C,fold_00,Train,3
vodctg000245_np551212567_C,fold_00,Train,3
vraChr52544_C,fold_00,Train,3
A0A0F6PMD0_C,fold_00,Test,3
A0A1C9J6A7_C,fold_00,Test,3
A0A481YAH7_C,fold_00,Test,3
A0A4Y5QVX4_C,fold_00,Test,3
A7IZZ1_C,fold_00,Test,3
hmoChr44410_L,fold_00,Test,3
O04806_C,fold_00,Test,3
Q1XBU5_L,fold_00,Test,3
Q40322_C,fold_00,Test,3
Q6F5H2_C,fold_00,Test,3
Q6F5H3_C,fold_00,Test,3
Q8L5K3_C,fold_00,Test,3
Q940E7_C,fold_00,Test,3
Q9AXM7_C,fold_00,Test,3
Q9FUW5_C,fold_00,Test,3
vodctg000225_np551212959_L,fold_00,Test,3
vraChr51716_C,fold_00,Test,3
A0A059SVB0_L,fold_01,Train,4
A0A068B0N9_L,fold_01,Train,4
A0A097ZLN9_L,fold_01,Train,4
A0A097ZLP5_L,fold_01,Train,4
A0A097ZLS9_L,fold_01,Train,4
A0A0F6PMD0_C,fold_01,Train,4
A0A140KFH3_L,fold_01,Train,4
A0A1C9J6A7_C,fold_01,Train,4
A0A1Q1N939_L,fold_01,Train,4
A0A2R3ZE38_L,fold_01,Train,4
A0A345BJ04_L,fold_01,Train,4
A0A3G9EWY9_L,fold_01,Train,4
A0A481YAH7_C,fold_01,Train,4
A0A4Y5QVX4_C,fold_01,Train,4
A0A4Y5QWA6_L,fold_01,Train,4
A0A4Y5QZ62_L,fold_01,Train,4
A0A7L7S5P2_L,fold_01,Train,4
A0A7L7S5U1_L,fold_01,Train,4
A0A7L7T499_L,fold_01,Train,4
A0A7L7TAQ2_L,fold_01,Train,4
A7IZZ1_C,fold_01,Train,4
B0F4G4_C,fold_01,Train,4
B1NA83_L,fold_01,Train,4
B1NA84_L,fold_01,Train,4
B6F137_L,fold_01,Train,4
C0KWV5_L,fold_01,Train,4
C0KWV7_L,fold_01,Train,4
C0KY88_L,fold_01,Train,4
D4N3A0_L,fold_01,Train,4
D4N3A1_L,fold_01,Train,4
D5SL78_L,fold_01,Train,4
dinctg000_np1212847_L,fold_01,Train,4
F2XF93_L,fold_01,Train,4
F2XFA6_L,fold_01,Train,4
F8TWD1_L,fold_01,Train,4
G5CV39_L,fold_01,Train,4
H6UQ81_L,fold_01,Train,4
H6WBC5_L,fold_01,Train,4
hmoChr44410_L,fold_01,Train,4
J7HWK5_L,fold_01,Train,4
O04806_C,fold_01,Train,4
P0CV94_L,fold_01,Train,4
P0CV95_L,fold_01,Train,4
Q1XBU5_L,fold_01,Train,4
Q20HU7_C,fold_01,Train,4
Q2XSC5_L,fold_01,Train,4
Q2XSC6_C,fold_01,Train,4
Q40322_C,fold_01,Train,4
Q5SBP3_L,fold_01,Train,4
Q675L1_C,fold_01,Train,4
Q6F5H2_C,fold_01,Train,4
Q6F5H3_C,fold_01,Train,4
Q6ZH94_L,fold_01,Train,4
Q84UV0_L,fold_01,Train,4
Q8H2B4_L,fold_01,Train,4
Q8L5K3_C,fold_01,Train,4
Q940E7_C,fold_01,Train,4
Q9AXM7_C,fold_01,Train,4
Q9FUW5_C,fold_01,Train,4
Q9M5A4_C,fold_01,Train,4
Q9M7C9_C,fold_01,Train,4
Q9SPN0_L,fold_01,Train,4
Q9SPN1_L,fold_01,Train,4
Q9SW76_C,fold_01,Train,4
R4I6X2_L,fold_01,Train,4
R4YVJ5_C,fold_01,Train,4
slectg065_np871_L,fold_01,Train,4
slectg127_np665_L,fold_01,Train,4
slectg240_np1756_L,fold_01,Train,4
vodctg000225_np551212.245_C,fold_01,Train,4
vodctg000225_np551212959_L,fold_01,Train,4
vodctg000245_np551212567_C,fold_01,Train,4
vraChr51716_C,fold_01,Train,4
vraChr52544_C,fold_01,Train,4
A0A0D3ML99_C,fold_01,Test,4
A0A2R3ZE39_L,fold_01,Test,4
A0A5B9G8E4_L,fold_01,Test,4
A0A6C0M6B5_L,fold_01,Test,4
A0A6P6W6H5_C,fold_01,Test,4
A0A7G8EIM4_L,fold_01,Test,4
ATY48639_L,fold_01,Test,4
C0PPR1_L,fold_01,Test,4
F8TWD2_L,fold_01,Test,4
Q675L2_L,fold_01,Test,4
Q8L5K1_C,fold_01,Test,4
Q96376_L,fold_01,Test,4
U5PZT6_L,fold_01,Test,4
A0A059SVB0_L,fold_02,Train,1
A0A097ZLN9_L,fold_02,Train,1
A0A097ZLP5_L,fold_02,Train,1
A0A097ZLS9_L,fold_02,Train,1
A0A0D3ML99_C,fold_02,Train,1
A0A0F6PMD0_C,fold_02,Train,1
A0A140KFH3_L,fold_02,Train,1
A0A1C9J6A7_C,fold_02,Train,1
A0A1Q1N939_L,fold_02,Train,1
A0A2R3ZE38_L,fold_02,Train,1
A0A2R3ZE39_L,fold_02,Train,1
A0A345BJ04_L,fold_02,Train,1
A0A3G9EWY9_L,fold_02,Train,1
A0A481YAH7_C,fold_02,Train,1
A0A4Y5QVX4_C,fold_02,Train,1
A0A4Y5QWA6_L,fold_02,Train,1
A0A4Y5QZ62_L,fold_02,Train,1
A0A5B9G8E4_L,fold_02,Train,1
A0A6C0M6B5_L,fold_02,Train,1
A0A6P6W6H5_C,fold_02,Train,1
A0A7G8EIM4_L,fold_02,Train,1
A0A7L7S5U1_L,fold_02,Train,1
A0A7L7T499_L,fold_02,Train,1
A0A7L7TAQ2_L,fold_02,Train,1
A7IZZ1_C,fold_02,Train,1
ATY48639_L,fold_02,Train,1
B0F4G4_C,fold_02,Train,1
B1NA84_L,fold_02,Train,1
B6F137_L,fold_02,Train,1
C0KWV5_L,fold_02,Train,1
C0KY88_L,fold_02,Train,1
C0PPR1_L,fold_02,Train,1
D4N3A1_L,fold_02,Train,1
D5SL78_L,fold_02,Train,1
dinctg000_np1212847_L,fold_02,Train,1
F2XF93_L,fold_02,Train,1
F2XFA6_L,fold_02,Train,1
F8TWD1_L,fold_02,Train,1
F8TWD2_L,fold_02,Train,1
G5CV39_L,fold_02,Train,1
H6UQ81_L,fold_02,Train,1
H6WBC5_L,fold_02,Train,1
hmoChr44410_L,fold_02,Train,1
J7HWK5_L,fold_02,Train,1
O04806_C,fold_02,Train,1
P0CV94_L,fold_02,Train,1
P0CV95_L,fold_02,Train,1
Q1XBU5_L,fold_02,Train,1
Q20HU7_C,fold_02,Train,1
Q40322_C,fold_02,Train,1
Q5SBP3_L,fold_02,Train,1
Q675L1_C,fold_02,Train,1
Q675L2_L,fold_02,Train,1
Q6F5H2_C,fold_02,Train,1
Q6F5H3_C,fold_02,Train,1
Q8L5K1_C,fold_02,Train,1
Q8L5K3_C,fold_02,Train,1
Q940E7_C,fold_02,Train,1
Q96376_L,fold_02,Train,1
Q9AXM7_C,fold_02,Train,1
Q9FUW5_C,fold_02,Train,1
Q9M5A4_C,fold_02,Train,1
Q9M7C9_C,fold_02,Train,1
Q9SPN0_L,fold_02,Train,1
Q9SPN1_L,fold_02,Train,1
Q9SW76_C,fold_02,Train,1
R4I6X2_L,fold_02,Train,1
slectg065_np871_L,fold_02,Train,1
slectg127_np665_L,fold_02,Train,1
slectg240_np1756_L,fold_02,Train,1
U5PZT6_L,fold_02,Train,1
vodctg000225_np551212.245_C,fold_02,Train,1
vodctg000225_np551212959_L,fold_02,Train,1
vodctg000245_np551212567_C,fold_02,Train,1
vraChr51716_C,fold_02,Train,1
vraChr52544_C,fold_02,Train,1
A0A068B0N9_L,fold_02,Test,1
A0A7L7S5P2_L,fold_02,Test,1
B1NA83_L,fold_02,Test,1
C0KWV7_L,fold_02,Test,1
D4N3A0_L,fold_02,Test,1
Q2XSC5_L,fold_02,Test,1
Q2XSC6_C,fold_02,Test,1
Q6ZH94_L,fold_02,Test,1
Q84UV0_L,fold_02,Test,1
Q8H2B4_L,fold_02,Test,1
R4YVJ5_C,fold_02,Test,1
A0A068B0N9_L,fold_03,Train,0
A0A097ZLN9_L,fold_03,Train,0
A0A097ZLP5_L,fold_03,Train,0
A0A097ZLS9_L,fold_03,Train,0
A0A0D3ML99_C,fold_03,Train,0
A0A0F6PMD0_C,fold_03,Train,0
A0A140KFH3_L,fold_03,Train,0
A0A1C9J6A7_C,fold_03,Train,0
A0A1Q1N939_L,fold_03,Train,0
A0A2R3ZE38_L,fold_03,Train,0
A0A2R3ZE39_L,fold_03,Train,0
A0A345BJ04_L,fold_03,Train,0
A0A3G9EWY9_L,fold_03,Train,0
A0A481YAH7_C,fold_03,Train,0
A0A4Y5QVX4_C,fold_03,Train,0
A0A4Y5QWA6_L,fold_03,Train,0
A0A4Y5QZ62_L,fold_03,Train,0
A0A5B9G8E4_L,fold_03,Train,0
A0A6C0M6B5_L,fold_03,Train,0
A0A6P6W6H5_C,fold_03,Train,0
A0A7G8EIM4_L,fold_03,Train,0
A0A7L7S5P2_L,fold_03,Train,0
A0A7L7S5U1_L,fold_03,Train,0
A0A7L7T499_L,fold_03,Train,0
A0A7L7TAQ2_L,fold_03,Train,0
A7IZZ1_C,fold_03,Train,0
ATY48639_L,fold_03,Train,0
B1NA83_L,fold_03,Train,0
C0KWV7_L,fold_03,Train,0
C0PPR1_L,fold_03,Train,0
D4N3A0_L,fold_03,Train,0
D4N3A1_L,fold_03,Train,0
D5SL78_L,fold_03,Train,0
dinctg000_np1212847_L,fold_03,Train,0
F2XF93_L,fold_03,Train,0
F2XFA6_L,fold_03,Train,0
F8TWD1_L,fold_03,Train,0
