Protein_ID,Fold,Split
A0A059SVB0_L,fold_00,Train
A0A068B0N9_L,fold_00,Train
A0A097ZLP5_L,fold_00,Train
A0A0D3ML99_C,fold_00,Train
A0A0F6PMD0_C,fold_00,Train
A0A1C9J6A7_C,fold_00,Train
A0A1Q1N939_L,fold_00,Train
A0A2R3ZE38_L,fold_00,Train
A0A2R3ZE39_L,fold_00,Train
A0A345BJ04_L,fold_00,Train
A0A481YAH7_C,fold_00,Train
A0A4Y5QVX4_C,fold_00,Train
A0A4Y5QWA6_L,fold_00,Train
A0A4Y5QZ62_L,fold_00,Train
A0A5B9G8E4_L,fold_00,Train
A0A6C0M6B5_L,fold_00,Train
A0A6P6W6H5_C,fold_00,Train
A0A7G8EIM4_L,fold_00,Train
A0A7L7S5P2_L,fold_00,Train
A0A7L7S5U1_L,fold_00,Train
A0A7L7T499_L,fold_00,Train
A0A7L7TAQ2_L,fold_00,Train
A7IZZ1_C,fold_00,Train
ATY48639_L,fold_00,Train
B0F4G4_C,fold_00,Train
B6F137_L,fold_00,Train
C0KWV5_L,fold_00,Train
C0KWV7_L,fold_00,Train
C0KY88_L,fold_00,Train
C0PPR1_L,fold_00,Train
D5SL78_L,fold_00,Train
dinctg000_np1212847_L,fold_00,Train
F2XF93_L,fold_00,Train
F2XFA6_L,fold_00,Train
F8TWD2_L,fold_00,Train
H6UQ81_L,fold_00,Train
hmoChr44410_L,fold_00,Train
J7HWK5_L,fold_00,Train
O04806_C,fold_00,Train
P0CV94_L,fold_00,Train
Q1XBU5_L,fold_00,Train
Q20HU7_C,fold_00,Train
Q2XSC5_L,fold_00,Train
Q2XSC6_C,fold_00,Train
Q40322_C,fold_00,Train
Q5SBP3_L,fold_00,Train
Q675L1_C,fold_00,Train
Q675L2_L,fold_00,Train
Q6F5H2_C,fold_00,Train
Q6F5H3_C,fold_00,Train
Q6ZH94_L,fold_00,Train
Q84UV0_L,fold_00,Train
Q8H2B4_L,fold_00,Train
Q8L5K1_C,fold_00,Train
Q8L5K3_C,fold_00,Train
Q940E7_C,fold_00,Train
Q96376_L,fold_00,Train
Q9AXM7_C,fold_00,Train
Q9FUW5_C,fold_00,Train
Q9M5A4_C,fold_00,Train
Q9M7C9_C,fold_00,Train
Q9SPN0_L,fold_00,Train
Q9SPN1_L,fold_00,Train
Q9SW76_C,fold_00,Train
R4I6X2_L,fold_00,Train
R4YVJ5_C,fold_00,Train
slectg065_np871_L,fold_00,Train
slectg127_np665_L,fold_00,Train
U5PZT6_L,fold_00,Train
vodctg000225_np551212.245_C,fold_00,Train
vodctg000225_np551212959_L,fold_00,Train
vodctg000245_np551212567_C,fold_00,Train
vraChr51716_C,fold_00,Train
vraChr52544_C,fold_00,Train
A0A097ZLN9_L,fold_00,Test
A0A097ZLS9_L,fold_00,Test
A0A140KFH3_L,fold_00,Test
A0A3G9EWY9_L,fold_00,Test
B1NA83_L,fold_00,Test
B1NA84_L,fold_00,Test
D4N3A0_L,fold_00,Test
D4N3A1_L,fold_00,Test
F8TWD1_L,fold_00,Test
G5CV39_L,fold_00,Test
H6WBC5_L,fold_00,Test
P0CV95_L,fold_00,Test
slectg240_np1756_L,fold_00,Test
A0A059SVB0_L,fold_01,Train
A0A068B0N9_L,fold_01,Train
A0A097ZLN9_L,fold_01,Train
A0A097ZLP5_L,fold_01,Train
A0A097ZLS9_L,fold_01,Train
A0A0D3ML99_C,fold_01,Train
A0A140KFH3_L,fold_01,Train
A0A1C9J6A7_C,fold_01,Train
A0A1Q1N939_L,fold_01,Train
A0A2R3ZE38_L,fold_01,Train
A0A2R3ZE39_L,fold_01,Train
A0A345BJ04_L,fold_01,Train
A0A3G9EWY9_L,fold_01,Train
A0A481YAH7_C,fold_01,Train
A0A4Y5QVX4_C,fold_01,Train
A0A4Y5QWA6_L,fold_01,Train
A0A4Y5QZ62_L,fold_01,Train
A0A5B9G8E4_L,fold_01,Train
A0A6C0M6B5_L,fold_01,Train
A0A6P6W6H5_C,fold_01,Train
A0A7G8EIM4_L,fold_01,Train
A0A7L7S5P2_L,fold_01,Train
A0A7L7S5U1_L,fold_01,Train
A0A7L7T499_L,fold_01,Train
A0A7L7TAQ2_L,fold_01,Train
A7IZZ1_C,fold_01,Train
ATY48639_L,fold_01,Train
B1NA83_L,fold_01,Train
B1NA84_L,fold_01,Train
B6F137_L,fold_01,Train
C0KWV5_L,fold_01,Train
C0KWV7_L,fold_01,Train
C0KY88_L,fold_01,Train
C0PPR1_L,fold_01,Train
D4N3A0_L,fold_01,Train
D4N3A1_L,fold_01,Train
D5SL78_L,fold_01,Train
dinctg000_np1212847_L,fold_01,Train
F2XF93_L,fold_01,Train
F2XFA6_L,fold_01,Train
F8TWD1_L,fold_01,Train
F8TWD2_L,fold_01,Train
G5CV39_L,fold_01,Train
H6UQ81_L,fold_01,Train
H6WBC5_L,fold_01,Train
hmoChr44410_L,fold_01,Train
J7HWK5_L,fold_01,Train
P0CV94_L,fold_01,Train
P0CV95_L,fold_01,Train
Q1XBU5_L,fold_01,Train
Q20HU7_C,fold_01,Train
Q2XSC5_L,fold_01,Train
Q2XSC6_C,fold_01,Train
Q5SBP3_L,fold_01,Train
Q675L1_C,fold_01,Train
Q675L2_L,fold_01,Train
Q6F5H2_C,fold_01,Train
Q6F5H3_C,fold_01,Train
Q6ZH94_L,fold_01,Train
Q84UV0_L,fold_01,Train
Q8H2B4_L,fold_01,Train
Q8L5K1_C,fold_01,Train
Q8L5K3_C,fold_01,Train
Q96376_L,fold_01,Train
Q9M7C9_C,fold_01,Train
Q9SPN0_L,fold_01,Train
Q9SPN1_L,fold_01,Train
R4I6X2_L,fold_01,Train
R4YVJ5_C,fold_01,Train
slectg065_np871_L,fold_01,Train
slectg127_np665_L,fold_01,Train
slectg240_np1756_L,fold_01,Train
U5PZT6_L,fold_01,Train
vodctg000225_np551212.245_C,fold_01,Train
vodctg000225_np551212959_L,fold_01,Train
vodctg000245_np551212567_C,fold_01,Train
vraChr51716_C,fold_01,Train
vraChr52544_C,fold_01,Train
A0A0F6PMD0_C,fold_01,Test
B0F4G4_C,fold_01,Test
O04806_C,fold_01,Test
Q40322_C,fold_01,Test
Q940E7_C,fold_01,Test
Q9AXM7_C,fold_01,Test
Q9FUW5_C,fold_01,Test
Q9M5A4_C,fold_01,Test
Q9SW76_C,fold_01,Test
A0A059SVB0_L,fold_02,Train
A0A068B0N9_L,fold_02,Train
A0A097ZLN9_L,fold_02,Train
A0A097ZLP5_L,fold_02,Train
A0A097ZLS9_L,fold_02,Train
A0A0D3ML99_C,fold_02,Train
A0A0F6PMD0_C,fold_02,Train
A0A140KFH3_L,fold_02,Train
A0A1C9J6A7_C,fold_02,Train
A0A1Q1N939_L,fold_02,Train
A0A2R3ZE38_L,fold_02,Train
A0A2R3ZE39_L,fold_02,Train
A0A345BJ04_L,fold_02,Train
A0A3G9EWY9_L,fold_02,Train
A0A481YAH7_C,fold_02,Train
A0A4Y5QVX4_C,fold_02,Train
A0A4Y5QWA6_L,fold_02,Train
A0A4Y5QZ62_L,fold_02,Train
A0A5B9G8E4_L,fold_02,Train
A0A6C0M6B5_L,fold_02,Train
A0A6P6W6H5_C,fold_02,Train
A0A7G8EIM4_L,fold_02,Train
A0A7L7S5P2_L,fold_02,Train
A0A7L7S5U1_L,fold_02,Train
A0A7L7T499_L,fold_02,Train
A0A7L7TAQ2_L,fold_02,Train
A7IZZ1_C,fold_02,Train
ATY48639_L,fold_02,Train
B0F4G4_C,fold_02,Train
B1NA83_L,fold_02,Train
B1NA84_L,fold_02,Train
B6F137_L,fold_02,Train
C0PPR1_L,fold_02,Train
D4N3A0_L,fold_02,Train
D4N3A1_L,fold_02,Train
D5SL78_L,fold_02,Train
dinctg000_np1212847_L,fold_02,Train
F2XF93_L,fold_02,Train
F2XFA6_L,fold_02,Train
F8TWD1_L,fold_02,Train
F8TWD2_L,fold_02,Train
G5CV39_L,fold_02,Train
H6UQ81_L,fold_02,Train
H6WBC5_L,fold_02,Train
hmoChr44410_L,fold_02,Train
J7HWK5_L,fold_02,Train
O04806_C,fold_02,Train
P0CV94_L,fold_02,Train
P0CV95_L,fold_02,Train
Q1XBU5_L,fold_02,Train
Q20HU7_C,fold_02,Train
Q40322_C,fold_02,Train
Q5SBP3_L,fold_02,Train
Q675L1_C,fold_02,Train
Q675L2_L,fold_02,Train
Q6F5H2_C,fold_02,Train
Q6F5H3_C,fold_02,Train
Q6ZH94_L,fold_02,Train
Q84UV0_L,fold_02,Train
Q8L5K1_C,fold_02,Train
Q8L5K3_C,fold_02,Train
Q940E7_C,fold_02,Train
Q96376_L,fold_02,Train
Q9AXM7_C,fold_02,Train
Q9FUW5_C,fold_02,Train
Q9M5A4_C,fold_02,Train
Q9M7C9_C,fold_02,Train
Q9SPN0_L,fold_02,Train
Q9SPN1_L,fold_02,Train
Q9SW76_C,fold_02,Train
R4I6X2_L,fold_02,Train
